"Country_Code","Country","Population_Near_Rapid_Transit","Population_Near_Fast_Transit","Population_Near_National_Highways","Population_Near_Cycling_Facilities","Population_Near_Sidewalks","Population_Near_Pedestrian_Bridges","Block_Density","Population_Density","Population_Near_Sustainable_Transport"
"ARG","Argentina",0.0876048088525019,0.651768163986148,0.791800911074585,0.22404771928151,0.774357538457481,0.127240391600132,68.1827082204551,10746.0478846286,0.00743878640073392
"CHL","Chile",0.195809390567026,0,0.651903157992141,0.502979823397929,0.802592596875541,0.244167009855396,86.7071723091826,15550.750661283,0.0913629142085405
"URY","Uruguay",0,NA,0.833296142808245,0.351323946991278,0.846593592930567,0.146354205717442,57.8656388659662,11368.9984240644,0
"PRY","Paraguay",0,NA,0.80015356735293,0.223884264176534,0.708741653267861,0.0297245485443756,58.2446186584354,4984.81252437589,0
"BOL","Bolivia",0.0307006241603705,NA,0.625504482589469,0.405218381779647,0.772153996570325,0.0306828463375305,86.1267234634529,10511.2112820106,0.00185788555426488
"BRA","Brazil",0.0456192976087277,0.198437407246954,0.605774578395561,0.317185296744064,0.612230331634401,0.0638872123055631,62.7676926936557,21496.4735615718,0.00839500580151071
"NZL","New Zealand",0,0.396291044925089,0.795108498151871,0.626334568108091,0.677731344209421,0.201914496850348,32.2744321320074,6833.88265882856,0.100606313324373
"GAB","Gabon",0,NA,0.686500950854685,0.0241051723544127,0.336083503402133,0,17.8942042951824,9434.29987374222,0
"FRA","France",0.490431769180681,0.712330765233578,0.629739232961582,0.722797335986263,0.894022651406278,0.436031850667458,62.4949598706323,14916.4166982927,0.100270525181638
"GNQ","Equatorial Guinea",0,NA,0.783373442457097,0.0618145573452273,0.0287118392535213,0,22.0997363125904,23019.1579412818,0
"LBR","Liberia",0,NA,0.907187038775616,0.240200336606629,0.155387203620188,0,30.6081949445057,13532.4510473623,0
"CMR","Cameroon",0,0.0565906060677427,0.838930325592109,0.0733639672327203,0.668641689792813,0,44.2614755571128,34048.3256337136,0
"PER","Peru",0.0782966699652771,NA,0.592695224635653,0.591379131869751,0.861483915581695,0.129702009888115,114.139589630703,21483.5328379675,0.023042780341179
"ECU","Ecuador",0.159359465022225,NA,0.528098503288268,0.360248206783573,0.761634650622895,0.046245211624727,105.368612980295,17061.1628322807,0.0238181779876095
"GBR","United Kingdom",0.00627938746781304,0.0818516642682542,0.785274735659583,0.718309642451978,0.808933549741853,0.276070353456008,54.1583145365578,11930.442465215,0.00602577862822616
"COL","Colombia",0.214879923551284,0.849255121005812,0.482219177916306,0.635730700858748,0.775941654552273,0.282542726232144,110.626885223129,31042.7881647007,0.0293383335490273
"VEN","Venezuela",0.100327625164797,NA,0.653442183397672,0.154717563102059,0.429872656477139,0.0039979916497487,63.8574731915949,15649.8881004866,0.00383667161378457
"CRI","Costa Rica",0,NA,0.815214132310256,0.341558461419364,0.7196862273232,0,37.7709055524819,10782.3396284889,0
"PAN","Panama",0.168175995230776,NA,0.516030379526434,0.231869307901921,0.47942267507469,0.0111352555665959,43.0450295283877,17391.2231194217,0.0055465501585464
"CIV","Côte d’Ivoire",0,0.184667700074875,0.732246894781437,0.190692263867425,0.771087693821909,0,63.913807211538,29354.9356679778,0
"GHA","Ghana",0,0.0677654616478776,0.749445480946758,0.073812975445736,0.420549545227328,0,37.6302273497013,17289.4630431597,0
"SLE","Sierra Leone",0,0,0.694610892882018,0.349475356070916,0.432678823068119,0,34.4543199056595,30385.3158086865,0
"TGO","Togo",0,NA,0.675659809245383,0.250378683364221,0.586399754262404,0,62.5053413909721,10611.1097346211,0
"NGA","Nigeria",0.00525078040990184,NA,0.700832545019075,0.0259075055245066,0.060057028361421,0,35.1131679142708,21537.857327138,0
"BEN","Benin",0,NA,0.695500834275307,0.108395607047306,0.607606926662917,0,52.3069124597845,13524.456974447,0
"GIN","Guinea",0,NA,0.58863971548046,0.0815217126958038,0.65564052341724,0,50.050069357436,22382.9272809653,0
"GNB","Guinea-Bissau",0,NA,0.860818238821158,0.163447525457803,0.145775543233517,0,37.0430311202923,16595.1091395534,0
"BFA","Burkina Faso",0,NA,0.882084792737344,0.227473788061842,0.466539018832256,0.092026060041133,84.2282373719689,12455.8917686461,0
"NOR","Norway",0.495822691872671,NA,0.558010921694637,0.847002554447111,0.868715130529343,0.598981505246808,84.327640962917,8159.21033660741,0.295724823458675
"GMB","Gambia",0,NA,0.910972246715269,0.0786215026180071,0.276007106395592,0,62.1418265393176,13554.1316651372,0
"SEN","Senegal",0,NA,0.57216970515512,0.111959365801945,0.676703217398324,0,149.208217531611,26159.4357852294,0
"MLI","Mali",0,NA,0.860076105605768,0.0765394450670158,0.793394782057478,0,94.8335409812902,24840.5458425972,0
"NER","Niger",0,NA,0.85668015987642,0.1064214457173,0.658719013041262,0.0526279644533118,75.8331456589366,18328.2413792803,0
"MRT","Mauritania",0,NA,0.902119369942407,0.0969218276895597,0.836786835285259,0,140.533278184344,22895.8441586202,0
"DZA","Algeria",0.169336542790723,0.00207442024465732,0.461593337081608,0.151845072866376,0.718155474809718,0.00402867811915787,60.774629273335,19995.1367704365,0.00130665169339951
"USA","United States",0.122847745523949,0.199809373801375,0.738529307070943,0.274151703127697,0.395678575056785,0.105738086709643,61.2654089274592,10417.0604265719,0.0442978549720464
"MAR","Morocco",0.129090777081364,NA,0.521705646963866,0.288775737635128,0.729816240759531,0.00493822799893414,97.3884379111371,49619.1390625891,5.2207249578381e-05
"NIC","Nicaragua",0,0.675668884689063,0.770841401872516,0.228679483801639,0.757118689026534,0,61.1107036143961,12551.8161973537,0
"SLV","El Salvador",0,NA,0.562147501955546,0.346256532391729,0.54800311625589,0,53.1106923339916,17281.9616253189,0
"HND","Honduras",0,NA,0.527824040768905,0.278439071352404,0.50469539580142,0,83.6420505902417,17483.3434149006,0
"GTM","Guatemala",0.00764391671292742,NA,0.625183526921804,0.249772656823164,0.373610646405937,0.0158331718388271,83.3802743075565,16697.0180040899,0.000215461616111196
"JAM","Jamaica",0,NA,0.761501163687433,0.142855514057001,0.57598110944273,0,37.4687018510738,7748.75077450951,0
"DOM","Dominican Republic",0.0756608044116222,0,0.622454130996312,0.16382138355255,0.590787559051335,0.0143287007968472,70.7478747168561,17464.521994764,0.00256124033404328
"HTI","Haiti",0,NA,0.91723412437905,0.360361659736486,0.798422381474972,0,38.7888388319387,17441.6929027384,0
"CUB","Cuba",0,NA,0.759795300239361,0.415794851747831,0.81627097588462,0,55.3984391338102,21812.1872538548,0
"MEX","Mexico",0.114603827613525,0.0118040548681557,0.613311086536909,0.302537784568812,0.45954927723915,0.0573840360855756,81.597146396419,13861.7454498327,0.0249965947760203
"NLD","Netherlands",0.155671070317708,0,0.636690555728626,0.854467450821717,0.754578900641347,0.853990121279651,102.930272375931,9401.20238748299,0.152173509665548
"TUN","Tunisia",0.178769472346002,0.0194764301617748,0.544347745790162,0.193507074597945,0.596451034355036,0,76.3025977402129,13622.115063415,0
"ESP","Spain",0.625840341210585,0.507044997915028,0.41663659358432,0.793809255186236,0.858489063042163,0.484544864247249,79.7005979837916,24432.3709121571,0.269720562359606
"VAT","Vatican City",0.540242294050805,0.788294262847742,0.372744369336013,0.998462107525328,0.930766668454965,0.116172282715347,89.669227450966,4047.95694901918,0.116149744285267
"CHE","Switzerland",0.606773854252207,0,0.720689807770777,0.920195701836742,0.864925716839564,0.360605653086846,95.3942060118411,9565.00122258076,0.282236670923328
"BEL","Belgium",0.0425752999742333,0.658317378381607,0.661958289390067,0.709056829572068,0.811706545795851,0.569505017674266,56.3946537316375,12394.8084877881,0.410282865106598
"ALB","Albania",0,NA,0.577917943975751,0.460572948963823,0.740023784662972,0.261095618198126,45.1688139501609,19982.1739597842,0
"ITA","Italy",0.224872792361121,0.525442039911508,0.639254201084967,0.56802580188999,0.743028734250019,0.285010756672336,40.9910908385799,21534.9167240794,0.0572504365874952
"BGR","Bulgaria",0.433415773190961,0,0.629918693566054,0.694151954459223,0.814958930932708,0.166149851400482,82.4109810693081,10722.3775513339,0.109756438947726
"SRB","Serbia",0,0.795497097253594,0.705343031965811,0.600210228298549,0.769522543895913,0.163819203410016,56.047243716615,13371.4360356429,0.157684326369697
"HRV","Croatia",0,0.768784008604773,0.758784537523652,0.739395838742925,0.808919373422808,0.371939202402729,70.6692333613074,9564.61837423915,0.34708596279135
"ROU","Romania",0.443273222898462,NA,0.548812703890953,0.499119133518945,0.841887721696835,0.0581277992387344,63.4926310176982,17370.5978539315,0.0372306529461461
"HUN","Hungary",0.274572514915826,0.834206109300064,0.783589949504257,0.624384945460934,0.860527726560577,0.228428678980685,63.7842026999856,10652.2324717424,0
"AUT","Austria",0.545781287755416,0.84801533133153,0.730650285702072,0.844058935022655,0.886607927143211,0.559759191775787,81.0013714834566,14231.0093049648,0
"CZE","Czechia",0.430446120003779,0.887233278708239,0.624114815085911,0.911984380319588,0.857128133497856,0.182416679987415,97.3121964252515,10600.7907849465,0.174359828621612
"POL","Poland",0.120810743294417,0.660218559357939,0.647181764280407,0.828262546639669,0.862940249286726,0.577331001913607,80.5733069177533,10169.7006493187,0.176753788353476
"BLR","Belarus",0.271280772179037,NA,0.561547752420413,0.820237650109758,0.854505833803357,0.0973289660940255,103.240306883962,18502.1544352841,0.0662115794506439
"AUS","Australia",0.111088519336001,0.282342067256105,0.68457155910243,0.623092544770195,0.550254782110577,0.342647365501362,41.5744768403584,7071.91072937345,0.099634770464234
"IDN","Indonesia",0.0209743747883939,0.018859108691616,0.718743784619214,0.12520417647871,0.403300296936396,0.00197456018906501,55.1355216392583,17374.219230427,0.000751086875459972
"SGP","Singapore",0.476965146590157,0.264056939091396,0.173033513722502,0.911727918636295,0.773988503976796,0.453674463653473,49.2812066699895,59336.7355005966,0.279033323653848
"MYS","Malaysia",0.00956870715639731,0.000505064201013092,0.334519297713342,0.28674266407658,0.349404219938076,0.0146969576404501,83.6120390490091,13193.3494241694,0.00102971096566689
"ZAF","South Africa",0,NA,0.790507369125327,0.269168633031403,0.218056058544795,0.00714428165407367,45.4325829076034,19441.241719427,0
"ZWE","Zimbabwe",0,NA,0.957165387342488,0.135660041507217,0.220358245287091,0.00962376954415359,25.9105225255042,7386.63700525524,0
"ZMB","Zambia",0,NA,0.855706904381278,0.104868878231263,0.284145001656102,0,34.8688554393594,19594.3297746151,0
"AGO","Angola",0,0,0.763847821967698,0.0580156716119014,0.160552902596316,0,58.4054971016147,26181.2422502319,0
"COD","Congo - Kinshasa",0,0,0.950202680476883,0.0960856867374063,0.530132245651696,0,65.9062971856903,49652.5065942509,0
"BDI","Burundi",0,NA,0.994652951821041,0.153695280839354,0.559519124143629,0,45.9401824869143,33102.1471186425,0
"RWA","Rwanda",0,0.0104824517713323,0.875129987859586,0.271936678763514,0.247634937741885,0.00086899866640176,26.6107708018401,14597.5362896314,0
"MDG","Madagascar",0,NA,0.904559559917987,0.385758174887621,0.45988577848833,0.00130906999635768,19.0422792748348,61858.0692159648,0
"MOZ","Mozambique",0,NA,0.842314365089318,0.0681728391749388,0.169268080380315,0,56.6134771934875,14832.9167663882,0
"MUS","Mauritius",0.0856517941586532,NA,0.842108822595493,0.0664990905064645,0.597743844492231,0,42.1670496864105,9094.39016924162,0
"MWI","Malawi",0,NA,0.968261965612887,0.301727117895985,0.0920963158002254,0,30.1073610657718,23168.144540216,0
"TZA","Tanzania",0,NA,0.802191151494243,0.453964095709683,0.565747090850756,0.0691890310437792,48.8074774534647,28020.7022849719,0
"KEN","Kenya",0,0.0124959916433728,0.648583086073813,0.188162004240297,0.484255595881808,0.00258589827093737,34.6389962952835,57268.0126503068,0.000163750410070092
"UGA","Uganda",0,NA,0.871009122550887,0.154393311916619,0.522664920639156,0,19.7883239607988,12776.889780631,0
"LKA","Sri Lanka",0,NA,0.832381515474161,0.089039153610276,0.326353446144037,0,15.605798042751,10934.5897239452,0
"KHM","Cambodia",0,NA,0.793429958441646,0.155750223927306,0.617120965480349,0.00672432503378012,44.9598357757607,22747.8375262862,0
"PHL","Philippines",0,0,0.790227533417011,0.282657851334371,0.654447466466008,0.00567164940639529,70.3082770687317,58397.9831127251,0
"THA","Thailand",0.0782609186678743,0.000223509900581045,0.462030163100789,0.168216685806469,0.178741551775299,0.0180259735327251,45.2468113869388,16293.8887998145,0.00163374286131614
"VNM","Vietnam",0.0049784292539149,NA,0.60315864811341,0.129091506334109,0.494712104563238,0.00298222010035441,42.3582260059923,29139.5973362895,0
"SOM","Somalia",0,NA,0.904705459675717,0.0744974289751949,0.15895313129415,0,101.348293573085,57766.6212895887,0
"ETH","Ethiopia",0.154409759280099,0.168659980206773,0.39225025983101,0.0871725618621012,0.570787176194891,0,70.4282825203878,36615.8362957447,0
"DJI","Djibouti",0,NA,0.822964701788348,0.148821037132455,0.677957155785806,0,93.3050676520697,28154.5111881418,0
"YEM","Yemen",0,NA,0.360372804258738,0.0326940743183308,0.61344300611669,0,49.7143292474293,48091.1124851815,0
"OMN","Oman",0,0,0.326048182617307,0.0973076990977956,0.367933946129872,0,41.3944899138741,11762.0254346708,0
"SAU","Saudi Arabia",1.5346428887549e-05,NA,0.257464954108708,0.0629678607827704,0.139486777438699,0,62.7037488548626,13839.2467017883,0
"ARE","United Arab Emirates",0.0714782710106247,0.267462732350318,0.212272292575291,0.45829803077552,0.31783007359073,0.0242345950118012,74.3769209896411,13853.0358754187,0.0128283484379159
"QAT","Qatar",0.0990506867471675,NA,0.304758442002156,0.224860454096923,0.278410796049506,0.0488398055591467,56.5593791642689,16156.6632789385,0.00342374851996328
"COG","Congo - Brazzaville",0,0,0.827651571644907,0.0854994389144822,0.636550407276101,0,99.5926788462061,50540.655354453,0
"CAF","Central African Republic",0,NA,0.994844507404945,0.037987910099984,0.39509576176012,0,26.5204923012637,28115.0797730711,0
"SSD","South Sudan",0,NA,1,0.810355226986928,0,0,30.5646711438897,130762.466069302,0
"TCD","Chad",0,NA,0.704162272877721,0.0287750239599252,0.431353370486791,0,51.387218378278,15136.9357638376,0
"SDN","Sudan",0,NA,0.832884835722006,0.0159143277735487,0.285943575216315,0,118.941592109825,18270.0969663811,0
"LBY","Libya",0,NA,0.383573117704513,0.0687757829597627,0.573818382006178,0,55.3061475203312,5395.92297032243,0
"EGY","Egypt",0.0834463979203105,0.428988177122067,0.396779708048537,0.167727958847535,0.200962599999932,0,73.0669603814193,66892.9709645869,0
"GRC","Greece",0.223624247779324,0.604140550686122,0.673542814718788,0.603956600338045,0.918138155542191,0.0623920954494636,125.45883944467,16032.6900013003,0
"MMR","Myanmar (Burma)",0,NA,0.838309220795488,0.0800125374472866,0.646731481750369,0,66.2207849725994,26815.6880038028,0
"IND","India",0.0396956244490506,0.0853464634739458,0.672297199084046,0.11942353748373,0.34954449059777,0.00274606469009181,55.2064068497534,41719.0713220083,0.00043006684263473
"TWN","Taiwan",0.213448116536868,0.110774722559344,0.635198334055033,0.477133182612202,0.679085382120415,0.127620331450993,53.7374495459298,27054.1756617898,0.0490120103084528
"BGD","Bangladesh",0.0166982251668793,NA,0.730163482414864,0.111215374278693,0.314114628114169,0,18.7289149137701,55587.9912989696,0
"NPL","Nepal",0,NA,0.916961450755541,0.440378838092019,0.772019440562469,0,34.0781986403301,33671.9758493454,0
"BHR","Bahrain",0,NA,0.28019277473179,0.310707704029622,0.592087649107913,0,96.1958018068846,22993.8035018157,0
"KWT","Kuwait",0,NA,0.100765589830912,0.393040772807709,0.306409558281192,0,76.9257728333691,17695.6925645011,0
"PAK","Pakistan",0.0119274974701703,NA,0.49437464538509,0.10555031644168,0.372472214502573,9.44015005144053e-07,74.5649942060945,41322.7236575691,0
"JOR","Jordan",0,0,0.295675109202351,0.0834355972440277,0.322501269787633,0,50.7884438448396,28746.8850547275,0
"ISR","Israel",0.154852792104284,0.848424500171644,0.567940400405785,0.81347546484612,0.729354943570465,0.29981373084462,65.992870125193,21346.5819188599,0
"IRN","Iran",0.100393401260297,NA,0.180312339823779,0.355265597642874,0.57215382742621,0.0142057471634491,59.940352113144,58482.3747928216,0.00901709197316069
"IRQ","Iraq",0,NA,0.330542142962225,0.104725496802948,0.671190010433588,0,81.2501226526709,23451.506254038,0
"JPN","Japan",0.150669203971354,0.00305757328058087,0.741829318075139,0.529259704659346,0.814436691380303,0.0379253307534549,102.177931253801,10231.6717510394,0.00560390589991532
"CHN","China",0.17931766676874,0.0338605311092035,0.351750472085109,0.170497878091156,0.200721450245853,0.0392417498896522,15.1330232044586,47106.47932539,0.0172682058538576
"KOR","South Korea",0.392664259138325,NA,0.574727691288477,0.472868626819418,0.719457989394467,0.139340156375463,56.0042329946832,25698.083798417,0.0641347947309758
"PRK","North Korea",0.0982414088693061,NA,0.777115659199249,0.261610207840572,0.140269700151172,0.000575784159094676,24.9539765863382,31851.0923648787,0
"LBN","Lebanon",0,NA,0.298329367420304,0.183507966770125,0.722130733657453,0,59.2582862821897,26646.9798315542,0
"AFG","Afghanistan",0,NA,0.531397982418317,0.0703288456136122,0.230072789942036,0,36.2915949652569,34796.8064444587,0
"SYR","Syria",0,NA,0.32468883108845,0.21380204301546,0.640327492358526,0,49.6397799489016,30576.0003502998,0
"TJK","Tajikistan",0,NA,0.551081897924182,0.213433201553237,0.579541553709585,0,37.1856180008721,22217.6508952896,0
"TUR","Turkey",0.23663637104762,0.173607554403397,0.352036262871171,0.362047805295047,0.779077903817681,0.0190226236440502,87.2799086332152,34087.5295715675,0.00318880649867497
"TKM","Turkmenistan",0,NA,0.227187698864558,0.284739018678163,0.61593074966149,0,58.2806241880516,17633.2124109508,0
"ARM","Armenia",0.145237397712662,NA,0.446083688010699,0.405907928520263,0.73735862976237,0,44.7393022678401,11181.5801223017,0
"AZE","Azerbaijan",0.15770854362442,NA,0.556604051789328,0.361156125109482,0.68555033386301,0.0128548122502255,43.2503607066704,13872.0313770993,0.0100213936715441
"KGZ","Kyrgyzstan",0,NA,0.894600095729627,0.476492030077688,0.806193109277054,0,41.3228050080219,26087.6009744687,0
"UZB","Uzbekistan",0.0429285907596657,NA,0.646573055736803,0.0920703500423405,0.379517312127354,0.00327096865626151,36.6974277557771,26015.5234565587,0.00137923357856744
"GEO","Georgia",0.348034576899606,NA,0.503041169709668,0.675036603787877,0.821326008186638,0.0748531589281419,69.4121232428054,16178.7345332437,0.0401835176449867
"KAZ","Kazakhstan",0.042579022866753,NA,0.631450575645658,0.247628987148504,0.557596004965415,0.0468935076942915,45.2531772201583,12577.4340782159,0.00222254682370095
"UKR","Ukraine",0.16103305830581,NA,0.732078188540825,0.577239067263779,0.745868110199611,0.0680814554676563,59.3545517187004,12017.7892653892,0.0152555538930188
"MNG","Mongolia",0,NA,0.71819886211416,0.270763246703831,0.52451907923409,0.0355336891286988,39.7567668952897,12803.7941115998,0
"PRT","Portugal",0.267296321394883,0.521404668762638,0.393314381356744,0.691117911751534,0.819243045066902,0.12937010095508,60.3076758494812,19584.5846172673,0.00589352379052171
"CAN","Canada",0.16240341494108,0.499818120102865,0.736164187641437,0.605681757562851,0.668585477486028,0.336492680853821,59.4348208700592,12178.4797158166,0.20312168330972
"DEU","Germany",0.383411177168009,0.455189410426085,0.726271863394214,0.829375843963153,0.831859986144643,0.623419825569228,68.789654337117,8434.66520045436,0.371956378611905
"IRL","Ireland",0.100111994163541,0.635244940551493,0.748679683367909,0.798655057441087,0.884000069623814,0.345875406798438,65.0317171501566,10131.8181315116,0.223657887919051
"DNK","Denmark",0.605470791444928,0.740539356324555,0.855349231629459,0.853133036453446,0.760945433839205,0.935322160102379,94.3597068629422,13669.9687611017,0.785540552027179
"RUS","Russia",0.204497682633553,NA,0.570282059315661,0.671148238840641,0.806358385790739,0.0416101929045098,82.7685484120264,18211.0845113227,0.0165263610645074
"LVA","Latvia",0,0.0130080168894934,0.637705919509929,0.803237420655207,0.840680779137358,0.344054307040787,101.901020804435,8788.67565183086,0.0107147478416766
"SWE","Sweden",0.374237196950318,0.529291146608791,0.517231380709483,0.919675696733332,0.733573704449571,0.894850075394024,88.4521840455444,13152.6436932492,0
"FIN","Finland",0.289308315155803,0.7906836544842,0.5915147818482,0.959054318616647,0.666689897425387,0.9664031127953,114.919409076294,8799.60788222672,0.810458600300072
